rank,loop_path,length,min_edge_weight
1,Leucocytes → Leucocytes,1,458
2,CRP → CRP,1,317
3,Admission NC → Admission NC,1,175
4,LacticAcid → LacticAcid,1,83
5,Admission IC → Admission IC,1,1
6,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → ER Sepsis Triage,6,42
7,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → ER Sepsis Triage,6,36
8,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → ER Sepsis Triage,6,16
9,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → ER Sepsis Triage,6,1
10,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → LacticAcid → ER Sepsis Triage,7,42
11,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → Leucocytes → ER Sepsis Triage,7,36
12,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → LacticAcid → ER Sepsis Triage,7,17
13,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → Leucocytes → ER Sepsis Triage,7,17
14,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → Leucocytes → ER Sepsis Triage,7,16
15,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → LacticAcid → ER Sepsis Triage,7,16
16,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → ER Triage → ER Sepsis Triage,7,14
17,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → ER Registration → ER Sepsis Triage,7,11
18,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → ER Triage → ER Sepsis Triage,7,11
19,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → ER Registration → ER Sepsis Triage,7,5
20,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → Admission IC → ER Sepsis Triage,7,1
21,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → ER Registration → ER Sepsis Triage,7,1
22,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → Admission IC → ER Sepsis Triage,7,1
23,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Release A → Leucocytes → ER Sepsis Triage,7,1
24,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → Admission IC → LacticAcid → ER Sepsis Triage,8,18
25,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → LacticAcid → Leucocytes → ER Sepsis Triage,8,17
26,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → Leucocytes → LacticAcid → ER Sepsis Triage,8,17
27,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → Leucocytes → LacticAcid → ER Sepsis Triage,8,16
28,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → LacticAcid → Leucocytes → ER Sepsis Triage,8,16
29,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → ER Triage → Leucocytes → ER Sepsis Triage,8,14
30,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → LacticAcid → ER Triage → ER Sepsis Triage,8,14
31,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → ER Registration → ER Triage → ER Sepsis Triage,8,14
32,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → LacticAcid → ER Triage → ER Sepsis Triage,8,14
33,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → Leucocytes → ER Registration → ER Sepsis Triage,8,11
34,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → Leucocytes → ER Triage → ER Sepsis Triage,8,11
35,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → ER Triage → LacticAcid → ER Sepsis Triage,8,11
36,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → Leucocytes → ER Registration → ER Sepsis Triage,8,11
37,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → Leucocytes → ER Triage → ER Sepsis Triage,8,11
38,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → Leucocytes → ER Registration → ER Sepsis Triage,8,11
39,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → Admission IC → Leucocytes → ER Sepsis Triage,8,10
40,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Leucocytes → ER Registration → LacticAcid → ER Sepsis Triage,8,10
41,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → ER Triage → ER Registration → ER Sepsis Triage,8,5
